"","geoid","place","x2010_total","x2010_white","x2010_black","x2010_native_am","x2010_asian","x2010_pac_islander","x2010_hispanic","x2020_total","x2020_white","x2020_black","x2020_native_am","x2020_asian","x2020_pac_islander","x2020_hispanic"
"1","2400125","Aberdeen city",14920,8926,4503,19,349,0,657,15904,9499,3728,43,681,0,1767
"2","2400175","Aberdeen Proving Ground CDP",3558,1877,1035,0,47,0,586,2724,1268,1125,19,72,0,344
"3","2400225","Accident town",323,313,0,0,0,0,2,368,362,1,1,1,0,21
"4","2400250","Accokeek CDP",10513,2430,7108,0,420,0,754,11590,2862,6713,23,642,0,377
"5","2400350","Adamstown CDP",2134,1773,39,0,47,0,250,2130,1825,186,0,77,0,57
"6","2400400","Adelphi CDP",15040,4414,5897,101,1102,0,5589,16364,2672,5100,16,1002,0,8418
"7","2400712","Algonquin CDP",1130,1085,45,0,0,0,0,1110,886,38,0,0,0,148
"8","2400800","Allen CDP",297,270,27,0,0,0,0,419,419,0,0,0,0,0
"9","2401450","Andrews AFB CDP",2719,1794,517,0,115,0,379,3316,1898,851,0,95,0,633
"10","2401600","Annapolis city",37825,25596,8788,48,899,0,5887,39321,24060,8270,46,840,0,7901
"11","2401635","Annapolis Neck CDP",11105,9435,995,0,74,0,904,13049,11168,1203,0,49,0,535
"12","2401750","Antietam CDP",120,120,0,0,0,0,0,45,45,0,0,0,0,0
"13","2401925","Aquasco CDP",836,341,495,0,0,0,0,819,256,276,0,7,0,33
"14","2401975","Arbutus CDP",20406,15356,2770,88,1356,0,576,19267,14710,1202,58,1987,42,793
"15","2402025","Arden on the Severn CDP",1921,1705,110,0,26,0,0,1457,1203,16,0,0,0,213
"16","2402275","Arnold CDP",22483,19720,998,28,748,92,813,24334,20816,1243,0,786,0,1941
"17","2402762","Ashton-Sandy Spring CDP",5350,4272,590,0,353,0,319,6239,4090,854,0,632,0,1003
"18","2402825","Aspen Hill CDP",47023,23295,11070,145,5184,0,10280,53869,23588,9434,464,5915,0,18635
"19","2403500","Baden CDP",2269,1441,762,0,7,0,88,1574,898,598,0,0,0,34
"20","2403514","Bagtown CDP",361,361,0,0,0,0,0,400,391,0,0,0,0,0
"21","2403575","Bakersville CDP",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","2403800","Ballenger Creek CDP",19137,12804,2688,147,1200,0,2719,21484,14114,4084,86,1504,36,3141
"23","2404000","Baltimore city",620538,186424,399121,2210,13991,126,22812,602274,178996,375002,1855,14954,179,32627
"24","2404050","Baltimore Highlands CDP",7319,4890,1592,14,232,17,960,7880,4503,2108,0,490,0,937
"25","2404250","Barclay town",168,165,0,0,0,0,3,239,85,67,0,0,0,87
"26","2404475","Barnesville town",138,126,4,0,2,0,2,163,163,0,0,0,0,22
