"","GEOID","Place","race","estimate","year"
"1","2400125","Aberdeen city","total",14920,"2010"
"2","2400125","Aberdeen city","white",8926,"2010"
"3","2400125","Aberdeen city","black",4503,"2010"
"4","2400125","Aberdeen city","native_am",19,"2010"
"5","2400125","Aberdeen city","asian",349,"2010"
"6","2400125","Aberdeen city","pac_islander",0,"2010"
"7","2400125","Aberdeen city","hispanic",657,"2010"
"8","2400175","Aberdeen Proving Ground CDP","total",3558,"2010"
"9","2400175","Aberdeen Proving Ground CDP","white",1877,"2010"
"10","2400175","Aberdeen Proving Ground CDP","black",1035,"2010"
"11","2400175","Aberdeen Proving Ground CDP","native_am",0,"2010"
"12","2400175","Aberdeen Proving Ground CDP","asian",47,"2010"
"13","2400175","Aberdeen Proving Ground CDP","pac_islander",0,"2010"
"14","2400175","Aberdeen Proving Ground CDP","hispanic",586,"2010"
"15","2400225","Accident town","total",323,"2010"
"16","2400225","Accident town","white",313,"2010"
"17","2400225","Accident town","black",0,"2010"
"18","2400225","Accident town","native_am",0,"2010"
"19","2400225","Accident town","asian",0,"2010"
"20","2400225","Accident town","pac_islander",0,"2010"
"21","2400225","Accident town","hispanic",2,"2010"
"22","2400250","Accokeek CDP","total",10513,"2010"
"23","2400250","Accokeek CDP","white",2430,"2010"
"24","2400250","Accokeek CDP","black",7108,"2010"
"25","2400250","Accokeek CDP","native_am",0,"2010"
"26","2400250","Accokeek CDP","asian",420,"2010"
"27","2400250","Accokeek CDP","pac_islander",0,"2010"
"28","2400250","Accokeek CDP","hispanic",754,"2010"
"29","2400350","Adamstown CDP","total",2134,"2010"
"30","2400350","Adamstown CDP","white",1773,"2010"
"31","2400350","Adamstown CDP","black",39,"2010"
"32","2400350","Adamstown CDP","native_am",0,"2010"
"33","2400350","Adamstown CDP","asian",47,"2010"
"34","2400350","Adamstown CDP","pac_islander",0,"2010"
"35","2400350","Adamstown CDP","hispanic",250,"2010"
"36","2400400","Adelphi CDP","total",15040,"2010"
"37","2400400","Adelphi CDP","white",4414,"2010"
"38","2400400","Adelphi CDP","black",5897,"2010"
"39","2400400","Adelphi CDP","native_am",101,"2010"
"40","2400400","Adelphi CDP","asian",1102,"2010"
"41","2400400","Adelphi CDP","pac_islander",0,"2010"
"42","2400400","Adelphi CDP","hispanic",5589,"2010"
"43","2400712","Algonquin CDP","total",1130,"2010"
"44","2400712","Algonquin CDP","white",1085,"2010"
"45","2400712","Algonquin CDP","black",45,"2010"
"46","2400712","Algonquin CDP","native_am",0,"2010"
"47","2400712","Algonquin CDP","asian",0,"2010"
"48","2400712","Algonquin CDP","pac_islander",0,"2010"
"49","2400712","Algonquin CDP","hispanic",0,"2010"
"50","2400800","Allen CDP","total",297,"2010"
"51","2400800","Allen CDP","white",270,"2010"
"52","2400800","Allen CDP","black",27,"2010"
