Academic Year,LSS Number,LSS Name,School Number,School Name,Dropout Rate,Dropout Rate Numer,Dropout Rate Denom,Create Date
2021,01,Allegany,0405,Fort Hill High,<= 3.00,*,*,20220121
2021,01,Allegany,0601,Center for Career & Technical Education,<= 3.00,*,*,20220121
2021,01,Allegany,0606,Allegany High,<= 3.00,*,*,20220121
2021,01,Allegany,2404,Mountain Ridge High School,<= 3.00,*,*,20220121
2021,01,Allegany,A,All Allegany Schools,<= 3.00,*,*,20220121
2021,02,Anne Arundel,1033,Glen Burnie High,<= 3.00,*,*,20220121
2021,02,Anne Arundel,1274,Marley Glen School,<= 3.00,*,*,20220121
2021,02,Anne Arundel,1323,North County High,<= 3.00,*,*,20220121
2021,02,Anne Arundel,2013,Severna Park High,<= 3.00,*,*,20220121
2021,02,Anne Arundel,2023,Northeast High,<= 3.00,*,*,20220121
2021,02,Anne Arundel,2233,Anne Arundel Evening High,12.14,42,346,20220121
2021,02,Anne Arundel,2273,Chesapeake High,<= 3.00,*,*,20220121
2021,02,Anne Arundel,2363,Broadneck High,<= 3.00,*,*,20220121
2021,02,Anne Arundel,3013,Arundel High,<= 3.00,*,*,20220121
2021,02,Anne Arundel,3063,Crofton High School,<= 3.00,*,*,20220121
2021,02,Anne Arundel,3323,Meade High,<= 3.00,*,*,20220121
2021,02,Anne Arundel,3353,Old Mill High,<= 3.00,*,*,20220121
2021,02,Anne Arundel,3414,Ruth Parker Eason School,<= 3.00,*,*,20220121
2021,02,Anne Arundel,4013,Annapolis High,<= 3.00,*,*,20220121
2021,02,Anne Arundel,4023,Southern High,<= 3.00,*,*,20220121
2021,02,Anne Arundel,4074,Phoenix Academy,10.11,18,178,20220121
2021,02,Anne Arundel,4293,South River High,<= 3.00,*,*,20220121
2021,02,Anne Arundel,4304,Central Special School,<= 3.00,*,*,20220121
2021,02,Anne Arundel,6223,Chesapeake Science Point,<= 3.00,*,*,20220121
2021,02,Anne Arundel,A,All Anne Arundel Schools,<= 3.00,*,*,20220121
2021,03,Baltimore County,0051,Northwest EDLP at Milford Mill Academy,23.08,3,13,20220121
2021,03,Baltimore County,0052,Southwest EDLP at Woodlawn High School,*,*,*,20220121
2021,03,Baltimore County,0053,Northeast EDLP at Parkville High School,<= 3.00,*,*,20220121
2021,03,Baltimore County,0055,Southeast EDLP at Dundalk High School,6.67,1,15,20220121
2021,03,Baltimore County,0056,Central EDLP at Loch Raven High School,*,*,*,20220121
2021,03,Baltimore County,0058,Home Assignments-Secondary,9.09,1,11,20220121
2021,03,Baltimore County,0069,Catonsville Center for Alternative Studies,20.83,15,72,20220121
2021,03,Baltimore County,0072,Rosedale Center,14.71,5,34,20220121
2021,03,Baltimore County,0075,Crossroads Center,3.41,3,88,20220121
2021,03,Baltimore County,0077,BCDC Educational Center,39.16,65,166,20220121
2021,03,Baltimore County,0111,Maiden Choice School,<= 3.00,*,*,20220121
2021,03,Baltimore County,0172,Woodlawn High,5.31,105,1978,20220121
2021,03,Baltimore County,0174,Catonsville High,<= 3.00,*,*,20220121
2021,03,Baltimore County,0175,Western School of Technology,<= 3.00,*,*,20220121
2021,03,Baltimore County,0271,Milford Mill Academy,<= 3.00,*,*,20220121
2021,03,Baltimore County,0272,Randallstown High,<= 3.00,*,*,20220121
2021,03,Baltimore County,0371,Pikesville High,<= 3.00,*,*,20220121
2021,03,Baltimore County,0452,Owings Mills High,7.22,97,1344,20220121
2021,03,Baltimore County,0472,Franklin High,3.36,55,1638,20220121
2021,03,Baltimore County,0473,New Town High,<= 3.00,*,*,20220121
2021,03,Baltimore County,0772,Hereford High,<= 3.00,*,*,20220121
2021,03,Baltimore County,0872,Dulaney High,<= 3.00,*,*,20220121
2021,03,Baltimore County,0922,Ridge/Ruxton School,<= 3.00,*,*,20220121
2021,03,Baltimore County,0971,Towson High,<= 3.00,*,*,20220121
2021,03,Baltimore County,0972,Parkville High,4.24,101,2383,20220121
2021,03,Baltimore County,0973,Loch Raven High,<= 3.00,*,*,20220121
2021,03,Baltimore County,0975,George W. Carver Center for Arts & Technology,<= 3.00,*,*,20220121
2021,03,Baltimore County,1171,Perry Hall High,<= 3.00,*,*,20220121
2021,03,Baltimore County,1215,Battle Monument School,<= 3.00,*,*,20220121
2021,03,Baltimore County,1272,Patapsco High and Center for Arts,3.16,48,1519,20220121
2021,03,Baltimore County,1273,Dundalk High,4.48,91,2029,20220121
2021,03,Baltimore County,1371,Lansdowne High,4.47,67,1500,20220121
2021,03,Baltimore County,1473,Overlea High,<= 3.00,*,*,20220121
2021,03,Baltimore County,1572,Kenwood High,<= 3.00,*,*,20220121
2021,03,Baltimore County,1573,Sparrows Point High,<= 3.00,*,*,20220121
2021,03,Baltimore County,1574,Chesapeake High,<= 3.00,*,*,20220121
2021,03,Baltimore County,1575,Eastern Technical High School,<= 3.00,*,*,20220121
2021,03,Baltimore County,A,All Baltimore County Schools,<= 3.00,*,*,20220121
2021,04,Calvert,0113,Patuxent High,<= 3.00,*,*,20220121
2021,04,Calvert,0206,Calvert Country School,<= 3.00,*,*,20220121
2021,04,Calvert,0213,Calvert High,<= 3.00,*,*,20220121
2021,04,Calvert,0217,Huntingtown High School,<= 3.00,*,*,20220121
2021,04,Calvert,0314,Northern High,<= 3.00,*,*,20220121
2021,04,Calvert,A,All Calvert Schools,<= 3.00,*,*,20220121
2021,05,Caroline,0703,North Caroline High School,<= 3.00,*,*,20220121
2021,05,Caroline,0801,Colonel Richardson High School,3.21,19,592,20220121
2021,05,Caroline,A,All Caroline Schools,<= 3.00,*,*,20220121
