"","state","county","census_tract_number","life_expectancy","life_expectancy_range","life_expectancy_standard_error","GEOID10","neighborhood"
"1","Maryland","Baltimore city, MD","0101.00",77.4,"75.2-77.5",1.7672,24510010100,"Canton"
"2","Maryland","Baltimore city, MD","0102.00",71.4,"56.9-75.1",2.0634,24510010200,"Patterson Park North & East"
"3","Maryland","Baltimore city, MD","0103.00",73.4,"56.9-75.1",1.9006,24510010300,"Canton"
"4","Maryland","Baltimore city, MD","0104.00",76.5,"75.2-77.5",2.1642,24510010400,"Canton"
"5","Maryland","Baltimore city, MD","0105.00",79,"77.6-79.5",2.7363,24510010500,"Fells Point"
"6","Maryland","Baltimore city, MD","0201.00",76,"75.2-77.5",1.986,24510020100,"Fells Point"
"7","Maryland","Baltimore city, MD","0202.00",80.6,"79.6-81.6",2.5094,24510020200,"Fells Point"
"8","Maryland","Baltimore city, MD","0203.00",76.7,"75.2-77.5",2.2614,24510020300,"Fells Point"
"9","Maryland","Baltimore city, MD","0301.00",70.3,"56.9-75.1",3.7745,24510030100,"Harbor East/Little Italy"
"10","Maryland","Baltimore city, MD","0302.00",74.5,"56.9-75.1",2.8458,24510030200,"Harbor East/Little Italy"
"11","Maryland","Baltimore city, MD","0401.00",NA,NA,NA,24510040100,"Downtown/Seton Hill"
"12","Maryland","Baltimore city, MD","0402.00",NA,NA,NA,24510040200,"Downtown/Seton Hill"
"13","Maryland","Baltimore city, MD","0601.00",70.6,"56.9-75.1",2.3288,24510060100,"Patterson Park North & East"
"14","Maryland","Baltimore city, MD","0602.00",71.2,"56.9-75.1",2.1163,24510060200,"Patterson Park North & East"
"15","Maryland","Baltimore city, MD","0603.00",73.4,"56.9-75.1",3.1062,24510060300,"Patterson Park North & East"
"16","Maryland","Baltimore city, MD","0604.00",68.1,"56.9-75.1",2.8152,24510060400,"Oldtown/Middle East"
"17","Maryland","Baltimore city, MD","0701.00",NA,NA,NA,24510070100,"Madison/East End"
"18","Maryland","Baltimore city, MD","0702.00",65.9,"56.9-75.1",1.7439,24510070200,"Madison/East End"
"19","Maryland","Baltimore city, MD","0703.00",62.6,"56.9-75.1",2.7475,24510070300,"Madison/East End"
"20","Maryland","Baltimore city, MD","0704.00",73.1,"56.9-75.1",1.2338,24510070400,"Oldtown/Middle East"
"21","Maryland","Baltimore city, MD","0801.01",75.7,"75.2-77.5",3.2797,24510080101,"Belair-Edison"
"22","Maryland","Baltimore city, MD","0801.02",66.4,"56.9-75.1",2.3564,24510080102,"Belair-Edison"
"23","Maryland","Baltimore city, MD","0802.00",69.6,"56.9-75.1",2.2733,24510080200,"Clifton-Berea"
"24","Maryland","Baltimore city, MD","0803.01",62.8,"56.9-75.1",2.4699,24510080301,"Clifton-Berea"
"25","Maryland","Baltimore city, MD","0803.02",NA,NA,NA,24510080302,"Clifton-Berea"
"26","Maryland","Baltimore city, MD","0804.00",NA,NA,NA,24510080400,"Clifton-Berea"
"27","Maryland","Baltimore city, MD","0805.00",65.1,"56.9-75.1",3.1535,24510080500,"Clifton-Berea"
"28","Maryland","Baltimore city, MD","0806.00",68.3,"56.9-75.1",1.6405,24510080600,"Greenmount East"
"29","Maryland","Baltimore city, MD","0807.00",NA,NA,NA,24510080700,"Greenmount East"
"30","Maryland","Baltimore city, MD","0808.00",64.6,"56.9-75.1",3.7234,24510080800,"Oldtown/Middle East"
"31","Maryland","Baltimore city, MD","0901.00",68.8,"56.9-75.1",2.3839,24510090100,"Greater Govans"
"32","Maryland","Baltimore city, MD","0902.00",77.1,"75.2-77.5",2.1614,24510090200,"Northwood"
"33","Maryland","Baltimore city, MD","0903.00",74,"56.9-75.1",1.6725,24510090300,"The Waverlies"
"34","Maryland","Baltimore city, MD","0904.00",74.6,"56.9-75.1",3.7532,24510090400,"The Waverlies"
"35","Maryland","Baltimore city, MD","0905.00",75.2,"75.2-77.5",2.8503,24510090500,"The Waverlies"
"36","Maryland","Baltimore city, MD","0906.00",72.5,"56.9-75.1",2.2506,24510090600,"Midway/Coldstream"
"37","Maryland","Baltimore city, MD","0907.00",68.7,"56.9-75.1",1.7248,24510090700,"Midway/Coldstream"
"38","Maryland","Baltimore city, MD","0908.00",66.2,"56.9-75.1",1.9423,24510090800,"Midway/Coldstream"
"39","Maryland","Baltimore city, MD","0909.00",65.2,"56.9-75.1",1.9867,24510090900,"Greenmount East"
"40","Maryland","Baltimore city, MD","1001.00",NA,NA,NA,24510100100,"Greenmount East"
"41","Maryland","Baltimore city, MD","1002.00",NA,NA,NA,24510100200,"Oldtown/Middle East"
"42","Maryland","Baltimore city, MD","1003.00",NA,NA,NA,24510100300,"Unassigned--Jail"
"43","Maryland","Baltimore city, MD","1101.00",NA,NA,NA,24510110100,"Midtown"
"44","Maryland","Baltimore city, MD","1102.00",73,"56.9-75.1",2.986,24510110200,"Midtown"
"45","Maryland","Baltimore city, MD","1201.00",85.8,"81.7-97.5",2.0497,24510120100,"North Baltimore/Guilford/Homeland"
"46","Maryland","Baltimore city, MD","1202.01",78.9,"77.6-79.5",3.1127,24510120201,"Greater Charles Village/Barclay"
"47","Maryland","Baltimore city, MD","1202.02",NA,NA,NA,24510120202,"Greater Charles Village/Barclay"
"48","Maryland","Baltimore city, MD","1203.00",67.9,"56.9-75.1",1.5655,24510120300,"Greater Charles Village/Barclay"
"49","Maryland","Baltimore city, MD","1204.00",73.5,"56.9-75.1",1.5402,24510120400,"Greater Charles Village/Barclay"
"50","Maryland","Baltimore city, MD","1205.00",76.7,"75.2-77.5",1.7225,24510120500,"Midtown"
"51","Maryland","Baltimore city, MD","1206.00",68.1,"56.9-75.1",1.858,24510120600,"Greater Charles Village/Barclay"
"52","Maryland","Baltimore city, MD","1207.00",NA,NA,NA,24510120700,"Medfield/Hampden/Woodberry/Remington"
"53","Maryland","Baltimore city, MD","1301.00",69.7,"56.9-75.1",2.5922,24510130100,"Penn North/Reservoir Hill"
"54","Maryland","Baltimore city, MD","1302.00",76.7,"75.2-77.5",1.7031,24510130200,"Penn North/Reservoir Hill"
"55","Maryland","Baltimore city, MD","1303.00",69.1,"56.9-75.1",1.9374,24510130300,"Penn North/Reservoir Hill"
"56","Maryland","Baltimore city, MD","1304.00",72.2,"56.9-75.1",2.1007,24510130400,"Penn North/Reservoir Hill"
"57","Maryland","Baltimore city, MD","1306.00",75,"56.9-75.1",2.2385,24510130600,"Medfield/Hampden/Woodberry/Remington"
"58","Maryland","Baltimore city, MD","1307.00",80.5,"79.6-81.6",0.6944,24510130700,"Medfield/Hampden/Woodberry/Remington"
"59","Maryland","Baltimore city, MD","1308.03",NA,NA,NA,24510130803,"Medfield/Hampden/Woodberry/Remington"
