geoid,county_name,total_population_2014
01001,"Autauga County, Alabama",55136
01003,"Baldwin County, Alabama",191205
01005,"Barbour County, Alabama",27119
01007,"Bibb County, Alabama",22653
01009,"Blount County, Alabama",57645
01011,"Bullock County, Alabama",10693
01013,"Butler County, Alabama",20523
01015,"Calhoun County, Alabama",117186
01017,"Chambers County, Alabama",34091
01019,"Cherokee County, Alabama",26042
01021,"Chilton County, Alabama",43781
01023,"Choctaw County, Alabama",13546
01025,"Clarke County, Alabama",25331
01027,"Clay County, Alabama",13617
01029,"Cleburne County, Alabama",14990
01031,"Coffee County, Alabama",50726
01033,"Colbert County, Alabama",54491
01035,"Conecuh County, Alabama",12985
01037,"Coosa County, Alabama",11247
01039,"Covington County, Alabama",37881
01041,"Crenshaw County, Alabama",13938
01043,"Cullman County, Alabama",80668
01045,"Dale County, Alabama",50013
01047,"Dallas County, Alabama",42743
01049,"DeKalb County, Alabama",71074
01051,"Elmore County, Alabama",80321
01053,"Escambia County, Alabama",38042
01055,"Etowah County, Alabama",104126
01057,"Fayette County, Alabama",17019
01059,"Franklin County, Alabama",31663
01061,"Geneva County, Alabama",26816
01063,"Greene County, Alabama",8798
01065,"Hale County, Alabama",15393
01067,"Henry County, Alabama",17270
01069,"Houston County, Alabama",103079
01071,"Jackson County, Alabama",53012
01073,"Jefferson County, Alabama",658834
01075,"Lamar County, Alabama",14268
01077,"Lauderdale County, Alabama",92780
01079,"Lawrence County, Alabama",33835
01081,"Lee County, Alabama",147790
01083,"Limestone County, Alabama",87167
01085,"Lowndes County, Alabama",10918
01087,"Macon County, Alabama",20505
01089,"Madison County, Alabama",343229
01091,"Marengo County, Alabama",20489
01093,"Marion County, Alabama",30527
01095,"Marshall County, Alabama",94121
01097,"Mobile County, Alabama",414045
01099,"Monroe County, Alabama",22509
01101,"Montgomery County, Alabama",228850
01103,"Morgan County, Alabama",119744
01105,"Perry County, Alabama",10203
01107,"Pickens County, Alabama",19629
01109,"Pike County, Alabama",33216
01111,"Randolph County, Alabama",22724
01113,"Russell County, Alabama",56980
01115,"St. Clair County, Alabama",85242
01117,"Shelby County, Alabama",201168
01119,"Sumter County, Alabama",13433
01121,"Talladega County, Alabama",81673
01123,"Tallapoosa County, Alabama",41295
01125,"Tuscaloosa County, Alabama",198670
01127,"Walker County, Alabama",66211
01129,"Washington County, Alabama",17137
01131,"Wilcox County, Alabama",11367
01133,"Winston County, Alabama",24256
02013,"Aleutians East Borough, Alaska",3296
02016,"Aleutians West Census Area, Alaska",5650
02020,"Anchorage Municipality, Alaska",298178
02050,"Bethel Census Area, Alaska",17576
02060,"Bristol Bay Borough, Alaska",995
02068,"Denali Borough, Alaska",2048
02070,"Dillingham Census Area, Alaska",4956
02090,"Fairbanks North Star Borough, Alaska",99319
02100,"Haines Borough, Alaska",2557
02105,"Hoonah-Angoon Census Area, Alaska",2126
02110,"Juneau City and Borough, Alaska",32200
02122,"Kenai Peninsula Borough, Alaska",56687
02130,"Ketchikan Gateway Borough, Alaska",13676
02150,"Kodiak Island Borough, Alaska",13924
02164,"Lake and Peninsula Borough, Alaska",1490
02170,"Matanuska-Susitna Borough, Alaska",93843
02180,"Nome Census Area, Alaska",9792
02185,"North Slope Borough, Alaska",9618
02188,"Northwest Arctic Borough, Alaska",7672
02195,"Petersburg Borough, Alaska",3212
02198,"Prince of Wales-Hyder Census Area, Alaska",6356
02220,"Sitka City and Borough, Alaska",8957
02230,"Skagway Municipality, Alaska",996
02240,"Southeast Fairbanks Census Area, Alaska",7044
02261,"Valdez-Cordova Census Area, Alaska",9685
02270,"Wade Hampton Census Area, Alaska",7778
02275,"Wrangell City and Borough, Alaska",2383
02282,"Yakutat City and Borough, Alaska",635
02290,"Yukon-Koyukuk Census Area, Alaska",5651
04001,"Apache County, Arizona",72142
04003,"Cochise County, Arizona",130807
04005,"Coconino County, Arizona",135817
04007,"Gila County, Arizona",53242
04009,"Graham County, Arizona",37311
04011,"Greenlee County, Arizona",8800
04012,"La Paz County, Arizona",20348
04013,"Maricopa County, Arizona",3947382
04015,"Mohave County, Arizona",202482
04017,"Navajo County, Arizona",107489
04019,"Pima County, Arizona",993144
04021,"Pinal County, Arizona",390160
04023,"Santa Cruz County, Arizona",47250
04025,"Yavapai County, Arizona",213689
04027,"Yuma County, Arizona",201453
05001,"Arkansas County, Arkansas",18861
05003,"Ashley County, Arkansas",21437
05005,"Baxter County, Arkansas",41154
05007,"Benton County, Arkansas",232611
05009,"Boone County, Arkansas",37169
05011,"Bradley County, Arkansas",11316
05013,"Calhoun County, Arkansas",5266
05015,"Carroll County, Arkansas",27626
05017,"Chicot County, Arkansas",11489
05019,"Clark County, Arkansas",22800
05021,"Clay County, Arkansas",15577
05023,"Cleburne County, Arkansas",25793
05025,"Cleveland County, Arkansas",8597
05027,"Columbia County, Arkansas",24400
05029,"Conway County, Arkansas",21175
05031,"Craighead County, Arkansas",99835
05033,"Crawford County, Arkansas",61825
05035,"Crittenden County, Arkansas",50172
05037,"Cross County, Arkansas",17595
05039,"Dallas County, Arkansas",7954
05041,"Desha County, Arkansas",12602
05043,"Drew County, Arkansas",18705
05045,"Faulkner County, Arkansas",117804
05047,"Franklin County, Arkansas",17960
05049,"Fulton County, Arkansas",12218
05051,"Garland County, Arkansas",96804
05053,"Grant County, Arkansas",18014
05055,"Greene County, Arkansas",42970
05057,"Hempstead County, Arkansas",22419
05059,"Hot Spring County, Arkansas",33277
05061,"Howard County, Arkansas",13685
05063,"Independence County, Arkansas",36861
05065,"Izard County, Arkansas",13522
05067,"Jackson County, Arkansas",17746
05069,"Jefferson County, Arkansas",74655
05071,"Johnson County, Arkansas",25791
05073,"Lafayette County, Arkansas",7391
05075,"Lawrence County, Arkansas",17163
05077,"Lee County, Arkansas",10151
05079,"Lincoln County, Arkansas",14113
05081,"Little River County, Arkansas",12852
05083,"Logan County, Arkansas",22129
05085,"Lonoke County, Arkansas",70118
05087,"Madison County, Arkansas",15696
05089,"Marion County, Arkansas",16534
05091,"Miller County, Arkansas",43537
05093,"Mississippi County, Arkansas",45385
05095,"Monroe County, Arkansas",7855
05097,"Montgomery County, Arkansas",9296
05099,"Nevada County, Arkansas",8877
05101,"Newton County, Arkansas",8131
05103,"Ouachita County, Arkansas",25421
05105,"Perry County, Arkansas",10350
05107,"Phillips County, Arkansas",20847
05109,"Pike County, Arkansas",11187
05111,"Poinsett County, Arkansas",24359
05113,"Polk County, Arkansas",20454
05115,"Pope County, Arkansas",62687
05117,"Prairie County, Arkansas",8475
05119,"Pulaski County, Arkansas",388752
05121,"Randolph County, Arkansas",17794
05123,"St. Francis County, Arkansas",27642
05125,"Saline County, Arkansas",111811
05127,"Scott County, Arkansas",11024
05129,"Searcy County, Arkansas",8036
05131,"Sebastian County, Arkansas",126801
05133,"Sevier County, Arkansas",17250
05135,"Sharp County, Arkansas",17117
05137,"Stone County, Arkansas",12531
05139,"Union County, Arkansas",40954
05141,"Van Buren County, Arkansas",17090
05143,"Washington County, Arkansas",212238
05145,"White County, Arkansas",78275
05147,"Woodruff County, Arkansas",7094
05149,"Yell County, Arkansas",21934
06001,"Alameda County, California",1559308
06003,"Alpine County, California",1202
06005,"Amador County, California",37159
06007,"Butte County, California",221578
06009,"Calaveras County, California",44921
06011,"Colusa County, California",21424
06013,"Contra Costa County, California",1081232
06015,"Del Norte County, California",28066
06017,"El Dorado County, California",181465
06019,"Fresno County, California",948844
06021,"Glenn County, California",28019
06023,"Humboldt County, California",134876
06025,"Imperial County, California",177026
06027,"Inyo County, California",18439
06029,"Kern County, California",857730
06031,"Kings County, California",151390
06033,"Lake County, California",64209
06035,"Lassen County, California",33356
06037,"Los Angeles County, California",9974203
06039,"Madera County, California",152452
06041,"Marin County, California",256802
06043,"Mariposa County, California",17946
