countyfips,buyer_county,buyer_state,year,total_pills
45001,ABBEVILLE,SC,2006,363620
45001,ABBEVILLE,SC,2007,402940
45001,ABBEVILLE,SC,2008,424590
45001,ABBEVILLE,SC,2009,467230
45001,ABBEVILLE,SC,2010,539280
45001,ABBEVILLE,SC,2011,566560
45001,ABBEVILLE,SC,2012,589010
45001,ABBEVILLE,SC,2013,596420
45001,ABBEVILLE,SC,2014,641350
22001,ACADIA,LA,2006,1969720
22001,ACADIA,LA,2007,2207310
22001,ACADIA,LA,2008,2246400
22001,ACADIA,LA,2009,2537040
22001,ACADIA,LA,2010,2679687
22001,ACADIA,LA,2011,2806270
22001,ACADIA,LA,2012,2640841
22001,ACADIA,LA,2013,2569300
22001,ACADIA,LA,2014,2541140
51001,ACCOMACK,VA,2006,487300
51001,ACCOMACK,VA,2007,614000
51001,ACCOMACK,VA,2008,691600
51001,ACCOMACK,VA,2009,702600
51001,ACCOMACK,VA,2010,800550
51001,ACCOMACK,VA,2011,918550
51001,ACCOMACK,VA,2012,839370
51001,ACCOMACK,VA,2013,809570
51001,ACCOMACK,VA,2014,796930
16001,ADA,ID,2006,11094634
16001,ADA,ID,2007,10826747
16001,ADA,ID,2008,11817954
16001,ADA,ID,2009,13060799
16001,ADA,ID,2010,16145256
16001,ADA,ID,2011,18138918
16001,ADA,ID,2012,18990097
16001,ADA,ID,2013,18305203
16001,ADA,ID,2014,18427220
19001,ADAIR,IA,2006,135525
19001,ADAIR,IA,2007,159700
19001,ADAIR,IA,2008,183800
19001,ADAIR,IA,2009,217900
19001,ADAIR,IA,2010,222100
19001,ADAIR,IA,2011,233600
19001,ADAIR,IA,2012,232420
19001,ADAIR,IA,2013,203000
19001,ADAIR,IA,2014,195120
21001,ADAIR,KY,2006,694990
21001,ADAIR,KY,2007,691730
21001,ADAIR,KY,2008,822920
21001,ADAIR,KY,2009,897770
21001,ADAIR,KY,2010,1033160
21001,ADAIR,KY,2011,1212510
21001,ADAIR,KY,2012,1189460
21001,ADAIR,KY,2013,1153070
21001,ADAIR,KY,2014,1087490
29001,ADAIR,MO,2006,879240
29001,ADAIR,MO,2007,972670
29001,ADAIR,MO,2008,1061390
29001,ADAIR,MO,2009,1213050
29001,ADAIR,MO,2010,1332110
29001,ADAIR,MO,2011,1564110
29001,ADAIR,MO,2012,1638990
29001,ADAIR,MO,2013,1583860
29001,ADAIR,MO,2014,1577330
40001,ADAIR,OK,2006,504500
40001,ADAIR,OK,2007,629600
40001,ADAIR,OK,2008,772100
40001,ADAIR,OK,2009,886270
40001,ADAIR,OK,2010,1027450
40001,ADAIR,OK,2011,1229120
40001,ADAIR,OK,2012,1238760
40001,ADAIR,OK,2013,1211430
40001,ADAIR,OK,2014,1100830
08001,ADAMS,CO,2006,7797330
08001,ADAMS,CO,2007,8682060
08001,ADAMS,CO,2008,9949801
