geoid,state,total_population_2014
01,Alabama,4817678
02,Alaska,728300
04,Arizona,6561516
05,Arkansas,2947036
06,California,38066920
08,Colorado,5197580
09,Connecticut,3592053
10,Delaware,917060
12,Florida,19361792
13,Georgia,9907756
15,Hawaii,1392704
16,Idaho,1599464
17,Illinois,12868747
18,Indiana,6542411
19,Iowa,3078116
20,Kansas,2882946
21,Kentucky,4383272
22,Louisiana,4601049
23,Maine,1328535
24,Maryland,5887776
25,Massachusetts,6657291
26,Michigan,9889024
27,Minnesota,5383661
28,Mississippi,2984345
29,Missouri,6028076
30,Montana,1006370
31,Nebraska,1855617
32,Nevada,2761584
33,New Hampshire,1321069
34,New Jersey,8874374
35,New Mexico,2080085
36,New York,19594330
37,North Carolina,9750405
38,North Dakota,704925
39,Ohio,11560380
40,Oklahoma,3818851
41,Oregon,3900343
42,Pennsylvania,12758729
44,Rhode Island,1053252
45,South Carolina,4727273
46,South Dakota,834708
47,Tennessee,6451365
48,Texas,26092033
49,Utah,2858111
50,Vermont,626358
51,Virginia,8185131
53,Washington,6899123
54,West Virginia,1853881
55,Wisconsin,5724692
56,Wyoming,575251
11,District of Columbia,633736
