geoid,name,hispanic_pop
24001,"Allegany County, Maryland",1325
24003,"Anne Arundel County, Maryland",46230
24005,"Baltimore County, Maryland",46179
24009,"Calvert County, Maryland",3818
24011,"Caroline County, Maryland",2510
24013,"Carroll County, Maryland",6217
24015,"Cecil County, Maryland",4700
24017,"Charles County, Maryland",9779
24019,"Dorchester County, Maryland",1840
24021,"Frederick County, Maryland",25528
24023,"Garrett County, Maryland",345
24025,"Harford County, Maryland",11856
24027,"Howard County, Maryland",22713
24029,"Kent County, Maryland",873
24031,"Montgomery County,Maryland",204620
24033,"Prince George's County, Maryland",171094
24035,"Queen Anne's County, Maryland",2065
24037,"St. Mary's County, Maryland",6007
24039,"Somerset County, Maryland",946
24041,"Talbot County, Maryland",2545
24043,"Washington County, Maryland",8169
24045,"Wicomico County, Maryland",5550
24047,"Worcester County, Maryland",1882
24510,"Baltimore city, Maryland",32627
