geoid,name,white_pop
24001,"Allegany County, Maryland",62420
24003,"Anne Arundel County, Maryland",408297
24005,"Baltimore County, Maryland",487523
24009,"Calvert County, Maryland",73985
24011,"Caroline County, Maryland",26076
24013,"Carroll County, Maryland",152180
24015,"Cecil County, Maryland",89478
24017,"Charles County, Maryland",67215
24019,"Dorchester County, Maryland",20777
24021,"Frederick County, Maryland",200484
24023,"Garrett County, Maryland",28162
24025,"Harford County, Maryland",197023
24027,"Howard County, Maryland",176798
24029,"Kent County, Maryland",15484
24031,"Montgomery County, Maryland",536767
24033,"Prince George's County, Maryland",146540
24035,"Queen Anne's County, Maryland",43995
24037,"St. Mary's County, Maryland",86781
24039,"Somerset County, Maryland",13510000
24041,"Talbot County, Maryland",30104
24043,"Washington County, Maryland",122286
24045,"Wicomico County, Maryland",67339
24047,"Worcester County, Maryland",42828
24510,"Baltimore city, Maryland",178996
