  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
--------------------------------------------------------

2022 001    3.89    4.85    4.44    4.70    5.02    2.88
2022 002    3.84    4.74    4.39    4.66    5.32    2.62
2022 003    3.64    4.53    4.15    4.65    5.34    2.46
2022 004    3.64    4.67    4.13    4.63    5.31    2.25
2022 005    3.61    4.56    4.09    4.50    5.05    2.15
2022 006    3.53    4.38    3.80    4.17    4.88    1.62
2022 007    3.40    4.15    3.45    3.79    4.90    0.40
2022 008    3.18    4.03    3.22    3.64    4.73    0.20
2022 009    3.17    4.03    3.25    3.58    4.71    0.20
2022 010    3.18    3.95    3.23    3.50    4.58    0.20
2022 011    2.92    3.76    2.85    3.09    4.37    0.20
2022 012    2.53    3.81    2.89    2.89    4.18    0.20
2022 013    2.41    3.67    2.79    2.64    4.27    0.20
2022 014    2.35    3.53    2.62    2.49    4.20    0.20
2022 015    2.21    3.43    2.49    2.25    4.12    0.20
2022 016    2.21    3.43    2.41    2.08    3.90    0.20
2022 017    2.30    3.34    2.34    2.11    4.01    0.20
2022 018    2.22    3.23    2.30    1.99    3.81    0.20
2022 019    2.13    3.27    2.36    1.77    3.76    0.20
2022 020    2.05    3.19    2.15    1.46    3.65    0.20
2022 021    2.00    3.01    2.00    1.25    3.39    0.20
2022 022    1.93    2.99    1.97    1.30    2.81    0.20
2022 023    1.95    2.86    1.97    1.11    3.11    0.20
2022 024    1.88    2.78    1.87    0.95    3.02    0.20
2022 025    1.80    2.70    1.73    0.79    3.07    0.20
2022 026    1.69    2.50    1.47    0.62    2.93    0.20
2022 027    1.69    2.46    1.58    0.59    2.78    0.20
2022 028    1.66    2.32    1.48    0.54    2.76    0.20
2022 029    1.57    2.27    1.25    0.40    2.56    0.20
2022 030    1.48    2.22    1.25    0.32    2.47    0.20
2022 031    1.44    2.27    1.21    0.20    2.36    0.20
2022 032    1.35    2.27    1.26    0.20    2.48    0.20
2022 033    1.44    2.47    1.21    0.29    2.65    0.20
2022 034    1.35    2.25    1.30    0.37    2.62    0.20
2022 035    1.20    2.22    1.11    0.25    2.52    0.20
2022 036    1.08    2.14    0.90    0.20    2.24    0.20
2022 037    1.02    2.15    0.93    0.20    2.29    0.20
2022 038    1.10    2.19    1.14    0.27    2.35    0.20
2022 039    1.05    2.14    1.10    0.29    2.45    0.20
2022 040    1.03    2.19    1.06    0.28    2.48    0.20
2022 041    1.07    2.23    1.07    0.26    2.51    0.20
2022 042    0.99    2.20    1.09    0.25    2.47    0.20
2022 043    0.97    2.09    1.05    0.31    2.42    0.20
2022 044    0.82    1.89    0.80    0.24    2.26    0.20
2022 045    0.72    1.69    0.63    0.20    2.13    0.20
2022 046    0.71    1.72    0.74    0.20    2.02    0.20
2022 047    0.71    1.84    0.81    0.20    2.18    0.20
2022 048    0.71    1.93    0.82    0.20    2.33    0.20
2022 049    0.62    1.84    0.80    0.20    2.31    0.20
2022 050    0.63    1.82    0.86    0.20    2.31    0.20
2022 051    0.63    1.90    0.80    0.20    2.37    0.20
